name,surname
MERCEDES MARIA,LÓPEZ GONZÁLEZ
BYRON DAVID,CEVALLOS TRUJILLO
GONZALO LUIS,BALCAZAR CAMPOVERDE
FERNANDA NOEMI,CAMPOS MENDIETA
JAIME EDUARDO,CÁRDENAS MOLINA
CARLOS DANIEL,VILLAVICENCIO PESANTEZ
MARLENE ESTEFANIA,NOVILLO JARA
JOHANNA SOFIA,PEREZ CABRERA
MARTHA PATRICIA,MORALES HARRIS
DIANA LUCÍA,IÑIGUEZ IÑIGUEZ
JAIME VICENTE,CHUCHUCA SERRANO
SAHIRA MARIBEL,MARTINEZ CEPEDA
XAVIER EDUARDO,MONTALVO APONTE
ALEX RUBEN,COBOS VELOZ
MIREYA KATERINE,PAZMIÑO ARREGUI
DANILO FERNANDO,GARCÍA GARCÍA
OSWALDO ERNESTO,LOPEZ BRAVO
JUAN JOSE,ORTEGA VINTIMILLA
GEOVANNY RAMIRO,CABEZAS VELASCO
MARLENE ALEXANDRA,NARVAEZ CALVACHI
LENIN EDUARDO,SAGUAY SANAGUANO
HERNÁN SEBASTIÁN,LÓPEZ MONTERO
PEDRO,GUARACA CUÑAS
RAQUEL ALEJANDRA,ARCOS CABEZAS
GEORGINA PIEDAD,PANCHEZ HERNANDEZ
KARINA MONSERRATH,MASACHE ALVARADO
DIEGO JAVIER,CAJAS LOGROÑO
RICARDO ISRAEL,VALENCIA CUVIÑA
LILLI LUCIA,ROMERO PACHECO
SUSANA DEL ROCIO,ANDRADE SOTO
JOSÉ ELIECER,CHICAIZA RONQUILLO
EDGAR GUILLERNO,GUASCA TULMO
GUSTAVO PATRICIO,MENA ZAPATA
LOURDES DEL ROCÍO,LARA VALENCIA
FANNY MARGOTH,CAÑAR CAISALITIN
JORGE ALFONSO,LLERENA VARGAS
ORO ALEXANDRA ELIZABETH,CARRION CÓRDOVA
ORO JORGE XAVIER,PAREDES LUCAS
ORO ANDRÉS ALBERTO,SUÁREZ PINEDA
ORO WILSON FERNANDO,MONTENEGRO ESPINOZA
KAROL NARCISA,MACIAS YANEZ
ELIZZABETH VANESSA DE,RING SALVADOR
LUZ MARIUXI,MURILLO CALVACHE
SANTANDER ROSERO,LUIS ENRIQUE
GLADYS MONSERRATE,ORDÓÑEZ ALEMÁN
MARIA JOSE,FRANCO PICO
DIEGO ALEJANDRO,REDROBAN BECERRA
ANGELA LUCCIOLA,SUAREZ VELASQUEZ
MARTHA FABIOLA,RIZZO GONZALEZ
CARLOS DIONISIO,SORNOZA MORAN
KAREN GABRIELA,ROMERO ZAVALA
MARLON ROBERTO,BANEGAS ANDRADE
DOUGLAS ALFREDO,PLAZA GALARZA
TEODORO IVAN,BLAKMAN BRIONES
MIREYA VERONICA,CHOEZ CAICEDO
KURT ERNESTO,LAINEZ LANDI
LUIS GABRIEL DE,SOUSA DIAZ
JESSICA ROSA,MACIO CUEVA
KERLIN GUSTAVO,YAGUAL ARREAGA
JOSE SANTIAGO,LINDAO GONZALEZ
CARLOS HUMBERTO,VITERI TORRES
CARLOS ALBERTO,VACA NUÑEZ
NINA DOLORES,ROMERO DELGADO
HILDA MARIA,MOLINA LOPEZ
LUIS FERNANDO,VALAREZO LINGEN
LILIA EDITH,GARCIA ANCHUNDIA
ENRIQUE SIGIFREDO,CENTENO MENDOZA
ILEANA AZUCENA,LUNA VELIZ
CARMEN LUCILA,JORDAN MEDINA
RICARDO JAVIER,RUILOVA ELIZALDE
JAIME DANIEL,SANTOS BALON
ROMAN FERNANDO,ARIAS CEDEÑO
VIRGINIA AZUCENA,TRIVIÑO BONILLA
ANA ALEGRIA,MERO DELGADO
ANGEL LEON,COLOMA CARRASCO
SYLVIA INES,ESCALANTE HERNANDEZ
MARIO FRANCISCO,CUVI SANTACRUZ
MARIA JOSE,FRIERE ALMEIDA
JENNY SORAYA,MERO OÑA
PABLO ROBERTO,CHANDI ULCUANGO
HUGO FABRICIO,NAVARRO VILLACÍS
JOSÉ BOLÍVAR,REINA NARVÁEZ
MONICA CRISTINA,GUAMAN GUAMAN
PABLO SAÚL,SOLÓRZANO SALINAS
RIOS MARIA BELEN,LOOR SEGOVIA
RIOS TEMÍSTOCLES GENARO,ORTEGA CEVALLOS
KARINA ANNABELL,CHAMORRO CEDEÑO
MARCIA ELIZABETH,MORA PEÑARRITA
JAIME JAHNNY,VILLACRESES GARCIA
EDGAR ALPIDIO,PEÑAFIEL RUIZ
DIANA ESPERANZA,DELGADO RODRIGUEZ
FATIMA MONSERRATE,MENDOZA RAMOS
ANA DEL ROCÍO,PILAY TEJENA
ANDRES WILMER,GONZALEZ SANCHEZ
IVÁN FRANCISCO,RIVADENEIRA TORRES
EDISON MAURICIO,VILLAVICENCIO ORELLANA
MARIO FRANCISCO,JATIVA REYES
VERONICA CAROLINA,RÍOS MERCHAN
GABRIEL ALEJANDRO,RAMÍREZ ROSALES
PABLO RENÁN,VALLEJO ARISTIZÁBAL
WASHINGTON BOLÍVAR,YÁNEZ LÓPEZ
FREDDY WHIMPER,TORRES FLORES
CÉSAR MAURICIO,MACAS CHULDE
ELSA DEL CARMEN,GOYES AGUILAR
KARINA ELIZABETH,NIETO SUAREZ
ANDRÉS ESTEBAN,AGUILAR VITERI
VLADIMIR RAFAEL,MORENO NEGRETE
KATTERYNE ESILDA,PRADO SÁNCHEZ
LADY GABRIELA,LUNA SANCHEZ
WILMA SORAYA,VARGAS CAIZA
CARLOS EMILIO,FIGUEROA CEPEDA
DOUBOSKY DELOS,MARQUEZ MANTILLA
RITA ELLENA,ALMEIDA SHAPÁN
JAIME PATRICIO,REYES GARCES
NELSON FABIAN,CARRION VILLAVICENCIO
FIDEL ANTONIO,VISCAINO BURGOS
NANCY ISABEL,ESCOBAR PAREDES
GINNA CARMITA,SUAREZ CRUZ
DIEGO ADALBERTO,HERNANDEZ PINOS
ALBA CUMANDA MINA D,ELA CRUZ
WILLIAMS JULIÁN,SANCHÉZ DÍAZ
EVELYN GERALDINE,SUAREZ SALAZAR
CECILIA ELIZABETH,COBA PÉREZ
KARINA DEL ROCIO,VERDESOTO MOREIRA
HECTOR PATRICIO,TAPIA RAMIREZ
ANDREA MARIA,GARCIA BENITEZ
SAHARA MISHELL,MERA CEDEÑO
SILVIA SUSANA,BALDEON LOZA
PAÚL VINICIO,DOMÍINGUEZ BERRÚ
DIANA ALEJANDRA,MIJAS CASTILLO
JUAN CARLOS,AGUAS ORTIZ
ERIKA PAOLA,CORONEL SALGUERO
MARIA CECILIA,NAULA MULLO
XIMENA ELIZABETH,CAYAMBE BADILLO
WILFRIDO EFREN,GUAOTO PILLALAZA
DALAI PIRAGOV,SILVA NARVAEZ
ROGER ANDRÉS,VALLEJO PÉREZ
LUIS ALBERTO,ANDRANGO CADENA
MARIA ESTHER,BARRAGAN CHILUISA
